"Localitate","Judet","Agentie","KM"
"Glodu","Suceava","Vatra Dornei","30"
"Gramesti","Suceava","Radauti","24"
"Granicesti","Suceava","Suceava","26"
"Grigoresti","Suceava","Suceava",""
"Groapa Vladichii","Suceava","Suceava",""
"Gropeni","Suceava","Radauti",""
"Gulia","Suceava","Falticeni","30"
"Gura Haitii","Suceava","Vatra Dornei","23"
"Gura Humorului","Suceava","Gura Humorului",""
"Gura Putnei","Suceava","Radauti","30"
"Gura Solcii","Suceava","Suceava","26"
"Haleasa","Suceava","Vatra Dornei","55"
"Hancea","Suceava","Suceava","20"
"Hantesti","Suceava","Suceava",""
"Hartop","Suceava","Falticeni",""
"Herla","Suceava","Falticeni","27"
"Holda","Suceava","Vatra Dornei","49"
"Holdita","Suceava","Vatra Dornei","50"
"Horodnic","Suceava","Radauti",""
"Horodnic de Jos","Suceava","Radauti",""
"Horodnic de Sus","Suceava","Radauti",""
"Horodniceni","Suceava","Suceava","20"
"Hreatca","Suceava","Falticeni",""
"Humoreni","Suceava","Suceava","32"
"Hurjuieni","Suceava","Radauti",""
"Husi","Suceava","Falticeni",""
"Iacobeni","Suceava","Vatra Dornei",""
"Iacobesti","Suceava","Suceava","21"
"Iaslovat","Suceava","Suceava","34"
"Iaz","Suceava","Radauti",""
"Iedu","Suceava","Vatra Dornei","48"
"Iesle","Suceava","Falticeni","40"
"Ilisesti","Suceava","Suceava","20"
"Ioneasa","Suceava","Falticeni","20"
"Ipotesti","Suceava","Suceava",""
"Izvoarele Sucevei","Suceava","Campulung Moldovenesc","45"
"Jacota","Suceava","Falticeni",""
"Jahalia","Suceava","Falticeni",""
"Lamaseni","Suceava","Falticeni",""
"Leucusesti","Suceava","Falticeni",""
"Lipoveni","Suceava","Suceava",""
"Lisaura","Suceava","Suceava",""
"Liteni","Suceava","Suceava","30"
"Liteni (Moara)","Suceava","Suceava",""
"Lucacesti","Suceava","Suceava","23"
"Lunca (Milisauti)","Suceava","Radauti",""
"Lunca (Zamostea)","Suceava","Suceava","34"
"Luncusoara","Suceava","Suceava",""
"Lungeni","Suceava","Vatra Dornei","55"
"Lupcina","Suceava","Radauti","60"
"Magura","Suceava","Radauti","60"
"Maidan","Suceava","Suceava","47"
"Malini","Suceava","Falticeni",""
"Manastioara (Siret)","Suceava","Radauti",""
"Manastioara (Udesti)","Suceava","Suceava","20"
"Manastirea Humorului","Suceava","Gura Humorului",""
"Maneuti","Suceava","Radauti",""
"Manolea","Suceava","Falticeni",""
"Marginea","Suceava","Radauti",""
"Maritei","Suceava","Suceava",""
"Mariteia Mica","Suceava","Suceava",""
"Mazanaesti","Suceava","Gura Humorului",""
"Mereni","Suceava","Suceava",""
"Meresti","Suceava","Suceava","23"
"Mestecanis","Suceava","Campulung Moldovenesc",""
"Mesteceni","Suceava","Falticeni","22"
"Mihaiesti","Suceava","Suceava","25"
"Mihoveni","Suceava","Suceava",""
"Milisauti","Suceava","Radauti",""
"Mironu","Suceava","Gura Humorului",""
"Mitocasi","Suceava","Suceava",""
"Mitocu Dragomirnei","Suceava","Suceava",""
"Moara","Suceava","Suceava",""
"Moara Carp","Suceava","Suceava",""
"Moara Nica","Suceava","Suceava",""
"Moisa","Suceava","Falticeni",""
"Moldova-Sulita","Suceava","Campulung Moldovenesc","30"
"Moldovita","Suceava","Campulung Moldovenesc","30"
"Molid","Suceava","Gura Humorului",""
"Movileni","Suceava","Falticeni","21"
"Musenita","Suceava","Radauti","25"
"Neagra","Suceava","Vatra Dornei","54"
"Neagra Sarului","Suceava","Vatra Dornei",""
"Negostina","Suceava","Radauti",""
"Negrileasa","Suceava","Gura Humorului","20"
"Nicani","Suceava","Suceava","34"
"Nigotesti","Suceava","Falticeni",""
"Nisipitu","Suceava","Radauti","52"
"Norocu","Suceava","Radauti","47"
"Obcina","Suceava","Campulung Moldovenesc","28"
"Oniceni","Suceava","Falticeni","22"
"Ortoaia","Suceava","Vatra Dornei",""
"Osoi","Suceava","Falticeni","25"
"Ostra","Suceava","Gura Humorului","22"
"Padureni","Suceava","Radauti","22"
"Paiseni","Suceava","Falticeni","22"
"Paltin","Suceava","Radauti","48"
"Paltinis","Suceava","Vatra Dornei","23"
"Paltinoasa","Suceava","Gura Humorului",""
"Paltinu","Suceava","Campulung Moldovenesc","26"
"Panaci","Suceava","Vatra Dornei",""
"Paraie","Suceava","Falticeni","22"
"Parau Negrei","Suceava","Campulung Moldovenesc","25"
"Parhauti","Suceava","Suceava","20"
"Partestii de Jos","Suceava","Suceava","35"
"Partestii de Sus","Suceava","Suceava","39"
"Patrauti","Suceava","Suceava",""
"Petia","Suceava","Falticeni",""
"Pietroasa","Suceava","Vatra Dornei","57"
"Pilugani","Suceava","Vatra Dornei",""
"Plai","Suceava","Campulung Moldovenesc","21"
"Plaiu sarului","Suceava","Vatra Dornei",""
"Plavalari","Suceava","Suceava",""
"Plesa","Suceava","Gura Humorului",""
"Plesesti","Suceava","Falticeni",""
"Plopeni","Suceava","Suceava",""
"Plutonita","Suceava","Gura Humorului",""
"Pocoleni","Suceava","Falticeni",""
"Podeni","Suceava","Falticeni",""
"Podu Cosnei","Suceava","Vatra Dornei",""
"Poiana (Dolhasca)","Suceava","Suceava","40"
"Poiana (Zvoristea)","Suceava","Suceava",""
"Poiana Marului","Suceava","Falticeni","25"
"Poiana Micului","Suceava","Gura Humorului",""
"Poiana Negrii","Suceava","Vatra Dornei",""
"Poiana Stampei","Suceava","Vatra Dornei",""
"Poienari","Suceava","Falticeni","35"
"Poieni-Solca","Suceava","Suceava","41"
"Poieni-Suceava","Suceava","Suceava","22"
"Pojorata","Suceava","Campulung Moldovenesc",""
"Praleni","Suceava","Vatra Dornei",""
"Praxia","Suceava","Falticeni",""
"Prelipca","Suceava","Suceava",""
"Preutesti","Suceava","Falticeni",""
"Prisaca Dornei","Suceava","Campulung Moldovenesc",""
"Probota","Suceava","Falticeni","31"
"Putna","Suceava","Radauti","30"
"Racova","Suceava","Suceava","25"
"Radaseni","Suceava","Falticeni",""
"Radauti","Suceava","Radauti",""
"Rasca (Moldovita)","Suceava","Campulung Moldovenesc","38"
"Rasca (Suceava)","Suceava","Falticeni",""
"Rauteni","Suceava","Suceava","34"
"Reuseni","Suceava","Suceava",""
"Romanesti (Cosna)","Suceava","Vatra Dornei",""
"Romanesti (Granicesti)","Suceava","Suceava","22"
"Roscani","Suceava","Suceava","31"
"Rosiori","Suceava","Falticeni",""
"Rosu","Suceava","Vatra Dornei",""
"Rotopanesti","Suceava","Suceava","25"
"Rotunda","Suceava","Suceava","36"
"Rudesti","Suceava","Radauti","21"
"Runcu","Suceava","Suceava","45"
"Rusca","Suceava","Vatra Dornei",""
"Rusi","Suceava","Falticeni","20"
"Rusii-Manastioara","Suceava","Suceava",""
"Sacuta","Suceava","Falticeni","20"
"Sadau","Suceava","Radauti","46"
"Sadova","Suceava","Campulung Moldovenesc",""
"Salageni","Suceava","Suceava",""
"Salcea","Suceava","Suceava",""
"Sarghiesti","Suceava","Suceava","21"
"Sarisor","Suceava","Vatra Dornei",""
"Sarisoru Mare","Suceava","Vatra Dornei",""
"Saru Bucovinei","Suceava","Vatra Dornei",""
"Saru Dornei","Suceava","Vatra Dornei",""
"Sasca Mare","Suceava","Falticeni",""
"Sasca Mica","Suceava","Falticeni",""
"Sasca Noua","Suceava","Falticeni",""
"Satu Mare","Suceava","Radauti",""
"Satu Mare (Crucea)","Suceava","Vatra Dornei","32"
"Scheia","Suceava","Suceava",""
"Securiceni","Suceava","Suceava",""
"Serbanesti","Suceava","Suceava","20"
"Serbauti","Suceava","Suceava","26"
"Ses","Suceava","Suceava","22"
"Sesuri","Suceava","Vatra Dornei","54"
"Sfantu Ilie","Suceava","Suceava",""
"Silistea","Suceava","Suceava","30"
"Silistea Noua","Suceava","Falticeni","30"
"Siminicea","Suceava","Suceava",""
"Sinca","Suceava","Falticeni","20"
"Siret","Suceava","Radauti",""
"Slatina","Suceava","Falticeni","27"
"Slatioara (Rasca)","Suceava","Falticeni","28"
"Slatioara (Stulpicani)","Suceava","Gura Humorului","25"
"Slobozia (Fantanele)","Suceava","Suceava","30"
"Slobozia (Zvoristea)","Suceava","Suceava","22"
"Slobozia Sucevei","Suceava","Suceava","24"
"Smida Ungurenilor","Suceava","Campulung Moldovenesc","20"
"Solca","Suceava","Suceava","45"
"Soldanesti","Suceava","Falticeni",""
"Solonet","Suceava","Suceava","27"
"Solonetu Nou","Suceava","Suceava","45"
"Spataresti","Suceava","Falticeni",""
"Stamate","Suceava","Suceava","25"
"Stanca","Suceava","Suceava","23"
"Stancuta","Suceava","Suceava","20"
"Stirbat","Suceava","Suceava","25"
"Straja","Suceava","Radauti","33"
"Stramtura","Suceava","Campulung Moldovenesc",""
"Stroiesti","Suceava","Suceava",""
"Stulpicani","Suceava","Gura Humorului",""
"Suceava","Suceava","Suceava",""
"Sucevita","Suceava","Radauti",""
"Sunatori","Suceava","Vatra Dornei",""
"Tarna Mare","Suceava","Falticeni",""
"Tarnicioara","Suceava","Gura Humorului","20"
"Tataru","Suceava","Vatra Dornei","23"
"Tautesti","Suceava","Suceava","28"
"Tesna (Cosna)","Suceava","Vatra Dornei","25"
"Tesna (Poiana Stampei)","Suceava","Vatra Dornei","25"
"Tibau","Suceava","Vatra Dornei","45"
"Tibeni","Suceava","Radauti",""
"Tisauti","Suceava","Suceava",""
"TODIRENI","Suceava","Vatra Dornei",""
"Todiresti","Suceava","Suceava","23"
"Tolesti","Suceava","Falticeni","28"
"Trei Movile","Suceava","Suceava",""
"Udesti","Suceava","Suceava",""
"Uidesti","Suceava","Falticeni","26"
"Ulma","Suceava","Radauti","55"
"Uncesti","Suceava","Falticeni",""
"Vadu Moldovei","Suceava","Falticeni",""
"Vadu Negrilesei","Suceava","Gura Humorului","25"
"Valcelele","Suceava","Suceava",""
"Valea Bancului","Suceava","Vatra Dornei",""
"Valea Bourei","Suceava","Falticeni","21"
"Valea Glodului","Suceava","Falticeni","25"
"Valea Moldovei","Suceava","Gura Humorului",""
"Valea Poienei","Suceava","Falticeni","25"
"Valea Putnei","Suceava","Campulung Moldovenesc",""
"Valea Stanei","Suceava","Vatra Dornei","20"
"Valeni-Stanisoara","Suceava","Falticeni","33"
"Vama","Suceava","Campulung Moldovenesc",""
"Varatec","Suceava","Suceava",""
"Varfu Dealului","Suceava","Gura Humorului",""
"Varvata","Suceava","Suceava","20"
"Vascauti","Suceava","Radauti","24"
"Vatra Dornei","Suceava","Vatra Dornei",""
"Vatra Moldovitei","Suceava","Campulung Moldovenesc","25"
"Verbia","Suceava","Radauti","27"
"Vercicani","Suceava","Suceava","32"
"Veresti","Suceava","Suceava",""
"Vicovu de Jos","Suceava","Radauti",""
"Vicovu de Sus","Suceava","Radauti","27"
"Vicsani","Suceava","Radauti","25"
"Voievodeasa","Suceava","Radauti",""
"Voitinel","Suceava","Radauti",""
"Volovat","Suceava","Radauti",""
"Vornicenii Mari","Suceava","Suceava","20"
"Vornicenii Mici","Suceava","Suceava",""
"Voronet","Suceava","Gura Humorului",""
"Vulturesti","Suceava","Falticeni",""
"Zaharesti","Suceava","Suceava",""
"Zalomestra","Suceava","Radauti","52"
"Zamostea","Suceava","Suceava","32"
"Zvoristea","Suceava","Suceava","23"
"Albeni","Teleorman","Videle","36"
"Albesti","Teleorman","Rosiori de Vede",""
"Alexandria","Teleorman","Alexandria",""
"Antonesti","Teleorman","Alexandria","27"
"Babaita","Teleorman","Alexandria","27"
"Bacalesti","Teleorman","Rosiori de Vede","24"
"Baciu","Teleorman","Videle",""
"Baduleasa","Teleorman","Turnu Magurele","20"
"Balaci","Teleorman","Rosiori de Vede","33"
"Baldovinesti","Teleorman","Rosiori de Vede","31"
"Balta Sarata","Teleorman","Rosiori de Vede","31"
"Baneasa","Teleorman","Rosiori de Vede","22"
"Banov","Teleorman","Videle","30"
"Barsestii de Jos","Teleorman","Turnu Magurele","40"
"Bascoveni","Teleorman","Videle",""
"Beciu","Teleorman","Turnu Magurele","38"
"Beiu","Teleorman","Alexandria",""
"Belciug","Teleorman","Rosiori de Vede",""
"Beuca","Teleorman","Rosiori de Vede","21"
"Blejesti","Teleorman","Videle",""
"Bogdana","Teleorman","Rosiori de Vede","25"
"Botoroaga","Teleorman","Videle",""
"Bragadiru","Teleorman","Alexandria","30"
"Branceni","Teleorman","Alexandria",""
"Brancoveanca","Teleorman","Turnu Magurele","30"
"Bratasani","Teleorman","Rosiori de Vede","32"
"Bratcovu","Teleorman","Rosiori de Vede",""
"Bratesti","Teleorman","Videle","28"
"Brebina","Teleorman","Rosiori de Vede",""
"Brosteanca","Teleorman","Rosiori de Vede","22"
"Bujoreni","Teleorman","Alexandria","30"
"Bujoru","Teleorman","Alexandria","35"
"Bujoru (Calmatuiu)","Teleorman","Rosiori de Vede",""
"Burdeni","Teleorman","Rosiori de Vede","38"
"Butculesti","Teleorman","Rosiori de Vede",""
"Butesti","Teleorman","Videle","20"
"Buzescu","Teleorman","Alexandria",""
"Calinesti","Teleorman","Alexandria","20"
"Calmatuiu","Teleorman","Rosiori de Vede","32"
"Calmatuiu de Sus","Teleorman","Rosiori de Vede","30"
"Calomfiresti","Teleorman","Alexandria",""
"Calugaru","Teleorman","Videle","20"
"Caravaneti","Teleorman","Rosiori de Vede","29"
"Carlomanu","Teleorman","Turnu Magurele",""
"Catunu","Teleorman","Videle","26"
"Cernetu","Teleorman","Alexandria",""
"Cervenia","Teleorman","Alexandria",""
"Cetatea","Teleorman","Rosiori de Vede","21"
"Ciolanesti","Teleorman","Rosiori de Vede","27"
"Ciolanestii din Deal","Teleorman","Rosiori de Vede","26"
"Ciolanestii din Vale","Teleorman","Rosiori de Vede","27"
"Ciuperceni","Teleorman","Turnu Magurele",""
"Ciuperceni (Cosmesti)","Teleorman","Videle",""
"Ciurari","Teleorman","Rosiori de Vede","20"
"Ciurari-Deal","Teleorman","Videle","29"
"Clanita","Teleorman","Alexandria",""
"Comoara","Teleorman","Videle","25"
"Contesti","Teleorman","Alexandria","25"
"Copaceanca","Teleorman","Alexandria","25"
"Cosmesti","Teleorman","Videle",""
"Cosoaia","Teleorman","Videle",""
"Cosoteni","Teleorman","Rosiori de Vede",""
"Crangeni","Teleorman","Rosiori de Vede","31"
"Crangu","Teleorman","Turnu Magurele",""
"Crevenicu","Teleorman","Videle",""
"Cucueti","Teleorman","Rosiori de Vede",""
"Darvas","Teleorman","Alexandria","33"
"Deparati","Teleorman","Rosiori de Vede","39"
"Didesti","Teleorman","Rosiori de Vede","21"
"Dobreni","Teleorman","Rosiori de Vede","46"
"Dobrotesti","Teleorman","Rosiori de Vede","26"
"Dorobantu","Teleorman","Rosiori de Vede","34"
"Dracea","Teleorman","Turnu Magurele","23"
"Dracesti","Teleorman","Videle","32"
"Dracsani","Teleorman","Rosiori de Vede",""
"Dracsenei","Teleorman","Rosiori de Vede",""
"Draganesti de Vede","Teleorman","Rosiori de Vede",""
"Draganesti-Vlasca","Teleorman","Alexandria","25"
"Draghinesti","Teleorman","Videle","31"
"Dudu","Teleorman","Turnu Magurele","35"
"Dulceanca","Teleorman","Rosiori de Vede",""
"Dulceni","Teleorman","Rosiori de Vede",""
"Fantanele","Teleorman","Alexandria","44"
"Florica","Teleorman","Turnu Magurele","27"
"Frasinet","Teleorman","Alexandria","29"
"Frumoasa","Teleorman","Alexandria","25"
"Furculesti","Teleorman","Alexandria","21"
"Galateni","Teleorman","Videle","22"
"Garagau","Teleorman","Rosiori de Vede","24"
"Gardesti","Teleorman","Rosiori de Vede","32"
"Gradisteanca","Teleorman","Videle","25"
"Gratia","Teleorman","Videle","34"
"Gresia","Teleorman","Rosiori de Vede",""
"Guruieni","Teleorman","Alexandria",""
"Insuratei","Teleorman","Rosiori de Vede","24"
"Ionascu","Teleorman","Rosiori de Vede","27"
"Islaz","Teleorman","Turnu Magurele",""
"Izvoarele","Teleorman","Alexandria","23"
"Laceni","Teleorman","Alexandria",""
"Lada","Teleorman","Rosiori de Vede","40"
"Licuriciu","Teleorman","Alexandria",""
"Linia Costii","Teleorman","Videle","21"
"Lisa","Teleorman","Turnu Magurele","30"
"Lita","Teleorman","Turnu Magurele",""
"Ludaneasca","Teleorman","Alexandria","26"
"Lunca","Teleorman","Turnu Magurele",""
"Magura","Teleorman","Alexandria",""
"Magura cu Liliac","Teleorman","Rosiori de Vede",""
"Maldaeni","Teleorman","Rosiori de Vede",""
"Marita","Teleorman","Alexandria","25"
"Marzanesti","Teleorman","Alexandria",""
"Mavrodin","Teleorman","Alexandria",""
"Mereni","Teleorman","Videle",""
"Merenii de Jos","Teleorman","Videle",""
"Merenii de Sus","Teleorman","Videle",""
"Meri","Teleorman","Rosiori de Vede",""
"Merisani (Babaita)","Teleorman","Alexandria","23"
"Merisani (Dobrotesti)","Teleorman","Rosiori de Vede","25"
"Moldoveni","Teleorman","Turnu Magurele",""
"Mosteni","Teleorman","Videle",""
"Mosteni (Furculesti)","Teleorman","Alexandria","22"
"Nanov","Teleorman","Alexandria",""
"Nasturelu","Teleorman","Alexandria","43"
"Navodari","Teleorman","Turnu Magurele",""
"Necsesti","Teleorman","Rosiori de Vede","32"
"Negreni","Teleorman","Rosiori de Vede","45"
"Negrenii de Sus","Teleorman","Rosiori de Vede",""
"Negrenii-Osebiti","Teleorman","Rosiori de Vede","43"
"Negrilesti","Teleorman","Videle","35"
"Nenciulesti","Teleorman","Alexandria",""
"Nicolae Balcescu","Teleorman","Rosiori de Vede","36"
"Obartu","Teleorman","Rosiori de Vede","40"
"Odobeasca","Teleorman","Rosiori de Vede",""
"Olteanca","Teleorman","Turnu Magurele",""
"Olteni","Teleorman","Rosiori de Vede","25"
"Orbeasca","Teleorman","Alexandria","20"
"Orbeasca de Jos","Teleorman","Alexandria","20"
"Orbeasca de Sus","Teleorman","Alexandria","20"
"Paru Rotund","Teleorman","Alexandria",""
"Pauleasca","Teleorman","Alexandria",""
"Peretu","Teleorman","Rosiori de Vede",""
"Perii Brosteni","Teleorman","Rosiori de Vede","28"
"Piatra","Teleorman","Alexandria","29"
"Pietrosani","Teleorman","Alexandria","43"
"Pleasov","Teleorman","Turnu Magurele",""
"Plopi","Teleorman","Rosiori de Vede","26"
"Plopii-Slavitesti","Teleorman","Turnu Magurele","30"
"Plosca","Teleorman","Rosiori de Vede",""
"Poeni","Teleorman","Videle","24"
"Poiana","Teleorman","Turnu Magurele",""
"Poroschia","Teleorman","Alexandria",""
"Preajba","Teleorman","Videle","27"
"Prunaru","Teleorman","Alexandria","35"
"Prundu","Teleorman","Turnu Magurele",""
"Purani (Silistea)","Teleorman","Videle",""
"Purani (Vitanesti)","Teleorman","Alexandria",""
"Puranii de Sus","Teleorman","Videle",""
"Putineiu","Teleorman","Turnu Magurele",""
"Radoiesti","Teleorman","Rosiori de Vede","20"
"Radoiesti-Deal","Teleorman","Rosiori de Vede","20"
"Radoiesti-Vale","Teleorman","Rosiori de Vede","22"
"Radulesti","Teleorman","Videle",""
"Rasmiresti","Teleorman","Alexandria","23"
"Rosiori de Vede","Teleorman","Rosiori de Vede",""
"Rotaresti","Teleorman","Videle","26"
"Saceni","Teleorman","Rosiori de Vede",""
"Saelele","Teleorman","Turnu Magurele",""
"Salcia","Teleorman","Rosiori de Vede","25"
"Sarbeni","Teleorman","Videle","32"
"Sarbenii de Jos","Teleorman","Videle","32"
"Satu Nou","Teleorman","Rosiori de Vede","23"
"Satul Vechi","Teleorman","Rosiori de Vede",""
"Schitu Poienari","Teleorman","Alexandria",""
"Scrioastea","Teleorman","Rosiori de Vede",""
"Scurtu Mare","Teleorman","Videle","31"
"Scurtu-Slavesti","Teleorman","Videle","33"
"Seaca","Teleorman","Turnu Magurele",""
"Secara","Teleorman","Turnu Magurele",""
"Segarcea-Deal","Teleorman","Turnu Magurele",""
"Segarcea-Vale","Teleorman","Turnu Magurele",""
"Sericu","Teleorman","Videle",""
"Sfintesti","Teleorman","Rosiori de Vede",""
"Silistea","Teleorman","Videle","20"
"Silistea (Vitanesti)","Teleorman","Alexandria",""
"Silistea Gumesti","Teleorman","Rosiori de Vede","37"
"Silistea Mica","Teleorman","Videle","25"
"Slavesti","Teleorman","Rosiori de Vede","38"
"Slobozia Mandra","Teleorman","Turnu Magurele","25"
"Smardan","Teleorman","Turnu Magurele","39"
"Smardioasa","Teleorman","Alexandria",""
"Socetu","Teleorman","Rosiori de Vede",""
"Soimu","Teleorman","Alexandria",""
"Spatarei","Teleorman","Alexandria","22"
"Stefeni","Teleorman","Videle",""
"Stejaru","Teleorman","Rosiori de Vede",""
"Stejaru (Crangeni)","Teleorman","Rosiori de Vede",""
"Storobaneasa","Teleorman","Alexandria",""
"Suhaia","Teleorman","Alexandria","40"
"Talpa","Teleorman","Videle","23"
"Talpa Postei","Teleorman","Videle","35"
"Talpa-Bascoveni","Teleorman","Videle","25"
"Talpa-Ograzile","Teleorman","Videle","24"
"Tarnava","Teleorman","Videle",""
"Tatarastii de Jos","Teleorman","Rosiori de Vede","39"
"Tatarastii de Sus","Teleorman","Rosiori de Vede","44"
"Tavarlau","Teleorman","Videle","31"
"Tecuci","Teleorman","Rosiori de Vede","34"
"Teleormanu","Teleorman","Alexandria",""
"Tiganesti","Teleorman","Alexandria",""
"Traian","Teleorman","Turnu Magurele",""
"Trivalea-Mosteni","Teleorman","Rosiori de Vede","35"
"Troianul","Teleorman","Rosiori de Vede",""
"Tudor Vladimirescu","Teleorman","Rosiori de Vede","27"
"Tunari","Teleorman","Videle","20"
"Turnu Magurele","Teleorman","Turnu Magurele",""
"Uda-Clocociov","Teleorman","Turnu Magurele","24"
"Uda-Paciurea","Teleorman","Turnu Magurele",""
"Udeni","Teleorman","Videle","36"
"Udupu","Teleorman","Rosiori de Vede","42"
"Ulmeni","Teleorman","Rosiori de Vede","25"
"Urluiu","Teleorman","Rosiori de Vede",""
"Vacaresti","Teleorman","Rosiori de Vede",""
"Vaceni","Teleorman","Alexandria",""
"Valea Ciresului","Teleorman","Videle",""
"Valea Parului","Teleorman","Alexandria",""
"Valea Postei","Teleorman","Videle","33"
"Vanatori","Teleorman","Turnu Magurele","24"
"Vartoape","Teleorman","Rosiori de Vede","24"
"Vartoapele de Jos","Teleorman","Rosiori de Vede","24"
"Vartoapele de Sus","Teleorman","Rosiori de Vede","25"
"Vatasi","Teleorman","Videle","28"
"Vatra","Teleorman","Rosiori de Vede",""
"Vedea","Teleorman","Rosiori de Vede",""
"Videle","Teleorman","Videle",""
"Viile","Teleorman","Rosiori de Vede",""
"Viisoara","Teleorman","Alexandria","32"
"Vitanesti","Teleorman","Alexandria",""
"Voievoda","Teleorman","Alexandria","24"
"Zambreasca","Teleorman","Rosiori de Vede","32"
"Zimnicea","Teleorman","Alexandria",""
"Zimnicele","Teleorman","Alexandria",""
"Zlata","Teleorman","Turnu Magurele",""
"Albina","Timis","Chisoda",""
"Alios","Timis","Dumbravita","42"
"Altringen","Timis","Dumbravita","46"
"Babsa","Timis","Lugoj","22"
"Bacova","Timis","Lugoj","31"
"Balint","Timis","Lugoj",""
"Balosesti","Timis","Lugoj","53"
"Banloc","Timis","Chisoda","48"
"Bara","Timis","Lugoj","27"
"Barateaz","Timis","Dumbravita","28"
"Barna","Timis","Lugoj",""
"Batesti","Timis","Lugoj","36"
"Bazos","Timis","Chisoda",""
"Bazosu Nou","Timis","Chisoda",""
"Beba Veche","Timis","Dumbravita","92"
"Becicherecu Mic","Timis","Dumbravita",""
"Begheiu Mic","Timis","Lugoj","31"
"Belint","Timis","Lugoj",""
"Bencecu de Jos","Timis","Dumbravita","29"
"Bencecu de Sus","Timis","Dumbravita","28"
"Berecuta","Timis","Chisoda","45"
"Beregsau Mare","Timis","Dumbravita",""
"Beregsau Mic","Timis","Dumbravita",""
"Berini","Timis","Chisoda","30"
"Bethausen","Timis","Lugoj","20"
"Bichigi","Timis","Lugoj","36"
"Biled","Timis","Dumbravita","26"
"Birda","Timis","Chisoda","42"
"Blajova","Timis","Chisoda","35"
"Bobda","Timis","Chisoda","25"
"Bodo","Timis","Lugoj",""
"Bogda","Timis","Dumbravita","48"
"Boldur","Timis","Lugoj",""
"Botesti","Timis","Lugoj",""
"Botinesti","Timis","Lugoj","22"
"Branesti","Timis","Lugoj","42"
"Breazova","Timis","Lugoj","44"
"Brestea","Timis","Chisoda","48"
"Brestovat","Timis","Chisoda","46"
"Bucovat (Dumbrava)","Timis","Lugoj","33"
"Bucovat (Remetea Mare)","Timis","Chisoda",""
"Bulgarus","Timis","Dumbravita","41"
"Bulza","Timis","Lugoj","57"
"Bunea Mare","Timis","Lugoj","46"
"Bunea Mica","Timis","Lugoj","48"
"Butin","Timis","Chisoda","59"
"Buzad","Timis","Dumbravita","47"
"Buzias","Timis","Lugoj","25"
"Cadar","Timis","Chisoda","42"
